epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1757.31,0.8188,1.39651,0.51806,0.87777,0.86564,0.88677,0.92381,0.6989,0.86449,0.85645,0.90712,0.59505,0.74919,1.18618,0.43313,0.88429,0.00479705,0.00479705,0.00479705
84,1777.45,0.81501,1.39092,0.52545,0.88014,0.8684,0.87376,0.92085,0.69357,0.85841,0.86285,0.90608,0.60507,0.76626,1.19111,0.4409,0.88679,0.00479458,0.00479458,0.00479458
85,1798.62,0.79689,1.36169,0.51398,0.87357,0.86053,0.87987,0.92077,0.69311,0.85432,0.86195,0.90396,0.59629,0.77447,1.23316,0.45259,0.88731,0.0047921,0.0047921,0.0047921
86,1819.09,0.80568,1.37529,0.5101,0.87969,0.873,0.88282,0.92406,0.69843,0.86456,0.85959,0.90619,0.59146,0.75011,1.19741,0.43811,0.8827,0.00478963,0.00478963,0.00478963
87,1839.69,0.81363,1.39268,0.51773,0.87624,0.8664,0.87914,0.92164,0.69981,0.86425,0.85821,0.90675,0.59763,0.75668,1.19738,0.44464,0.88391,0.00478715,0.00478715,0.00478715
88,1860.23,0.80892,1.39938,0.51262,0.88012,0.85566,0.88237,0.91949,0.69201,0.85275,0.85757,0.90401,0.58546,0.78159,1.24721,0.44585,0.89232,0.00478468,0.00478468,0.00478468
89,1880.43,0.80472,1.38156,0.51477,0.87854,0.86102,0.88318,0.9206,0.69782,0.85672,0.86644,0.90863,0.5921,0.75099,1.21084,0.43448,0.88565,0.0047822,0.0047822,0.0047822
90,1901.49,0.8042,1.37736,0.51282,0.87292,0.87905,0.88004,0.92252,0.70186,0.86528,0.86068,0.90441,0.58939,0.74869,1.19377,0.43186,0.88643,0.00477973,0.00477973,0.00477973
91,1921.48,0.80021,1.35422,0.50927,0.87631,0.85599,0.88676,0.9198,0.70009,0.8532,0.86393,0.90722,0.59742,0.75056,1.20072,0.43305,0.88552,0.00477725,0.00477725,0.00477725
92,1941.33,0.80318,1.38347,0.5142,0.87905,0.86924,0.87912,0.92153,0.70496,0.85673,0.86526,0.90683,0.58868,0.7353,1.18199,0.43022,0.88266,0.00477478,0.00477478,0.00477478
93,1961.43,0.79712,1.35286,0.50708,0.87727,0.86136,0.8834,0.92025,0.70113,0.84887,0.86527,0.90348,0.59178,0.74768,1.19796,0.43907,0.8831,0.0047723,0.0047723,0.0047723
94,1982.24,0.79824,1.35773,0.50833,0.87588,0.86558,0.87832,0.92226,0.70532,0.86373,0.85972,0.90698,0.59349,0.73653,1.19222,0.42497,0.88163,0.00476983,0.00476983,0.00476983
95,2003.19,0.81447,1.39293,0.50826,0.87271,0.86229,0.88624,0.92346,0.69878,0.86715,0.85201,0.90631,0.59278,0.75844,1.20271,0.43369,0.8844,0.00476735,0.00476735,0.00476735
